name,latency,throughput(cpi)
vmaxi_b,0.25/1.00,4.00
vmaxi_bu,0.25/1.00,4.00
vmaxi_d,0.25/2.00,4.00
vmaxi_du,0.25/2.00,4.00
vmaxi_h,0.25/1.00,4.00
vmaxi_hu,0.25/1.00,4.00
vmaxi_w,0.25/1.00,4.00
vmaxi_wu,0.25/1.00,4.00
vmin_b,1.00,3.96
vmin_bu,1.00,3.96
vmin_d,2.00,3.96
vmin_du,2.00,3.83
vmin_h,1.00,3.96
vmin_hu,1.00,3.96
vmin_w,1.00,3.96
vmin_wu,1.00,3.96
vmini_b,0.25/1.00,4.00
vmini_bu,0.25/1.00,4.00
vmini_d,0.25/2.00,4.00
vmini_du,0.25/2.00,4.00
vmini_h,0.25/1.00,4.00
vmini_hu,0.25/1.00,4.00
vmini_w,0.25/1.00,4.00
vmini_wu,0.25/1.00,4.00
vmod_b,28.97/34.97,0.06
vmod_bu,28.97/36.96,0.06
vmod_d,7.99/9.99,0.25
vmod_du,7.99/9.99,0.25
vmod_h,16.98/20.98,0.12
vmod_hu,16.98/20.98,0.11
vmod_w,10.99/12.99,0.18
vmod_wu,10.99/12.99,0.18
vmskgez_b,1.00,4.00
vmskltz_b,1.00,4.00
vmskltz_d,1.00,4.00
vmskltz_h,1.00,4.00
vmskltz_w,1.00,4.00
vmsknz_b,1.00,4.00
vmsub_b,4.00,0.25
vmsub_d,4.00,0.25
vmsub_h,4.00,0.25
vmsub_w,4.00,0.25
vmuh_b,4.00,2.00
vmuh_bu,4.00,2.00
vmuh_d,4.00,1.99
vmuh_du,4.00,2.00
vmuh_h,4.00,2.00
vmuh_hu,4.00,2.00
vmuh_w,4.00,2.00
vmuh_wu,4.00,1.99
vmul_b,4.00,2.00
vmul_d,4.00,2.00
vmul_h,4.00,2.00
vmul_w,4.00,2.00
vmulwev_d_w,4.00,2.00
vmulwev_d_wu,4.00,2.00
vmulwev_d_wu_w,4.00,2.00
vmulwev_h_b,4.00,2.00
vmulwev_h_bu,4.00,2.00
vmulwev_h_bu_b,4.00,2.00
vmulwev_q_d,6.99,2.00
vmulwev_q_du,6.99,2.00
vmulwev_q_du_d,6.99,2.00
vmulwev_w_h,4.00,2.00
vmulwev_w_hu,4.00,2.00
vmulwev_w_hu_h,4.00,2.00
vmulwod_d_w,4.00,2.00
vmulwod_d_wu,4.00,2.00
vmulwod_d_wu_w,4.00,2.00
vmulwod_h_b,4.00,2.00
vmulwod_h_bu,4.00,2.00
vmulwod_h_bu_b,4.00,2.00
vmulwod_q_d,6.99,2.00
vmulwod_q_du,6.99,2.00
vmulwod_q_du_d,6.99,2.00
vmulwod_w_h,4.00,2.00
vmulwod_w_hu,4.00,2.00
vmulwod_w_hu_h,4.00,2.00
