name,latency,throughput(ipc),throughput(cpi)
vsllwil_w_h,2.00,2.00,0.50
vsllwil_wu_hu,2.00,2.00,0.50
vslt_b,1.00,4.00,0.25
vslt_bu,1.00,4.00,0.25
vslt_d,2.00,4.00,0.25
vslt_du,2.00,4.00,0.25
vslt_h,1.00,4.00,0.25
vslt_hu,1.00,4.00,0.25
vslt_w,1.00,4.00,0.25
vslt_wu,1.00,4.00,0.25
vslti_b,1.00,4.00,0.25
vslti_bu,1.00,4.00,0.25
vslti_d,2.00,4.00,0.25
vslti_du,2.00,4.00,0.25
vslti_h,1.00,4.00,0.25
vslti_hu,1.00,4.00,0.25
vslti_w,1.00,4.00,0.25
vslti_wu,1.00,4.00,0.25
vsra_b,1.00,4.00,0.25
vsra_d,1.00,4.00,0.25
vsra_h,1.00,4.00,0.25
vsra_w,1.00,4.00,0.25
vsrai_b,1.00,4.00,0.25
vsrai_d,1.00,4.00,0.25
vsrai_h,1.00,4.00,0.25
vsrai_w,1.00,4.00,0.25
vsran_b_h,2.00,2.00,0.50
vsran_h_w,2.00,2.00,0.50
vsran_w_d,2.00,2.00,0.50
vsrani_b_h,4.00,2.00,0.50
vsrani_d_q,3.00,2.00,0.50
vsrani_h_w,4.00,2.00,0.50
vsrani_w_d,4.00,2.00,0.50
vsrar_b,3.00,2.00,0.50
vsrar_d,3.00,2.00,0.50
vsrar_h,3.00,2.00,0.50
vsrar_w,3.00,2.00,0.50
vsrari_b,3.00,2.00,0.50
vsrari_d,3.00,2.00,0.50
vsrari_h,3.00,2.00,0.50
vsrari_w,3.00,2.00,0.50
vsrarn_b_h,4.00,2.00,0.50
vsrarn_h_w,4.00,2.00,0.50
vsrarn_w_d,4.00,2.00,0.50
vsrarni_b_h,4.00,2.00,0.50
vsrarni_d_q,3.00,2.00,0.50
vsrarni_h_w,4.00,2.00,0.50
vsrarni_w_d,4.00,2.00,0.50
vsrl_b,1.00,4.00,0.25
vsrl_d,1.00,4.00,0.25
vsrl_h,1.00,4.00,0.25
vsrl_w,1.00,4.00,0.25
vsrli_b,1.00,4.00,0.25
vsrli_d,1.00,4.00,0.25
vsrli_h,1.00,4.00,0.25
vsrli_w,1.00,4.00,0.25
vsrln_b_h,2.00,2.00,0.50
vsrln_h_w,2.00,2.00,0.50
vsrln_w_d,2.00,2.00,0.50
vsrlni_b_h,4.00,2.00,0.50
vsrlni_d_q,3.00,2.00,0.50
vsrlni_h_w,4.00,2.00,0.50
vsrlni_w_d,4.00,2.00,0.50
vsrlr_b,3.00,2.00,0.50
vsrlr_d,3.00,2.00,0.50
vsrlr_h,3.00,2.00,0.50
vsrlr_w,3.00,2.00,0.50
vsrlri_b,3.00,2.00,0.50
vsrlri_d,3.00,2.00,0.50
vsrlri_h,3.00,2.00,0.50
vsrlri_w,3.00,2.00,0.50
vsrlrn_b_h,4.00,2.00,0.50
vsrlrn_h_w,4.00,2.00,0.50
vsrlrn_w_d,4.00,2.00,0.50
vsrlrni_b_h,4.00,2.00,0.50
vsrlrni_d_q,3.00,2.00,0.50
vsrlrni_h_w,4.00,2.00,0.50
vsrlrni_w_d,4.00,2.00,0.50
vssran_b_h,4.00,2.00,0.50
vssran_bu_h,4.00,2.00,0.50
vssran_h_w,4.00,2.00,0.50
vssran_hu_w,4.00,2.00,0.50
vssran_w_d,4.00,2.00,0.50
vssran_wu_d,4.00,2.00,0.50
vssrani_b_h,4.00,2.00,0.50
vssrani_bu_h,4.00,2.00,0.50
vssrani_d_q,3.00,2.00,0.50
