name,latency,throughput(ipc),throughput(cpi)
vmini_du,2.00,1.00,1.00
vmini_h,1.00,1.00,1.00
vmini_hu,1.00,1.00,1.00
vmini_w,1.00,1.00,1.00
vmini_wu,1.00,1.00,1.00
vmod_b,29.98/45.97,0.02,62.96
vmod_bu,29.98/45.97,0.02,62.96
vmod_d,8.99/10.99,0.08,12.99
vmod_du,8.99/10.99,0.08,12.99
vmod_h,17.99/25.98,0.03,34.98
vmod_hu,17.99/25.98,0.03,34.98
vmod_w,11.99/15.99,0.05,19.99
vmod_wu,11.99/15.99,0.05,19.99
vmskgez_b,1.00,1.00,1.00
vmskltz_b,1.00,1.00,1.00
vmskltz_d,1.00,1.00,1.00
vmskltz_h,1.00,1.00,1.00
vmskltz_w,1.00,1.00,1.00
vmsknz_b,1.00,1.00,1.00
vmsub_b,4.00,1.00,1.00
vmsub_d,4.00,1.00,1.00
vmsub_h,4.00,1.00,1.00
vmsub_w,4.00,1.00,1.00
vmuh_b,4.00,1.00,1.00
vmuh_bu,4.00,1.00,1.00
vmuh_d,4.00,1.00,1.00
vmuh_du,4.00,1.00,1.00
vmuh_h,4.00,1.00,1.00
vmuh_hu,4.00,1.00,1.00
vmuh_w,4.00,1.00,1.00
vmuh_wu,4.00,1.00,1.00
vmul_b,4.00,1.00,1.00
vmul_d,4.00,1.00,1.00
vmul_h,4.00,1.00,1.00
vmul_w,4.00,1.00,1.00
vmulwev_d_w,4.00,1.00,1.00
vmulwev_d_wu,4.00,1.00,1.00
vmulwev_d_wu_w,4.00,1.00,1.00
vmulwev_h_b,4.00,1.00,1.00
vmulwev_h_bu,4.00,1.00,1.00
vmulwev_h_bu_b,4.00,1.00,1.00
vmulwev_q_d,6.00,1.00,1.00
vmulwev_q_du,6.00,1.00,1.00
vmulwev_q_du_d,6.00,1.00,1.00
vmulwev_w_h,4.00,1.00,1.00
vmulwev_w_hu,4.00,1.00,1.00
vmulwev_w_hu_h,4.00,1.00,1.00
vmulwod_d_w,4.00,1.00,1.00
vmulwod_d_wu,4.00,1.00,1.00
vmulwod_d_wu_w,4.00,1.00,1.00
vmulwod_h_b,4.00,1.00,1.00
vmulwod_h_bu,4.00,1.00,1.00
vmulwod_h_bu_b,4.00,1.00,1.00
vmulwod_q_d,6.00,1.00,1.00
vmulwod_q_du,6.00,1.00,1.00
vmulwod_q_du_d,6.00,1.00,1.00
vmulwod_w_h,4.00,1.00,1.00
vmulwod_w_hu,4.00,1.00,1.00
vmulwod_w_hu_h,4.00,1.00,1.00
vneg_b,1.00,1.00,1.00
vneg_d,1.00,1.00,1.00
vneg_h,1.00,1.00,1.00
vneg_w,1.00,1.00,1.00
vnor_v,1.00,1.00,1.00
vnori_b,1.00,1.00,1.00
vor_v,1.00,1.00,1.00
vori_b,1.00,2.99,0.33
vorn_v,1.00,1.00,1.00
vpackev_b,1.00,1.00,1.00
vpackev_d,1.00,1.00,1.00
vpackev_h,1.00,1.00,1.00
vpackev_w,1.00,1.00,1.00
vpackod_b,1.00,1.00,1.00
vpackod_d,1.00,1.00,1.00
vpackod_h,1.00,1.00,1.00
vpackod_w,1.00,1.00,1.00
vpcnt_b,2.00,1.00,1.00
vpcnt_d,2.00,1.00,1.00
vpcnt_h,2.00,1.00,1.00
vpcnt_w,2.00,1.00,1.00
vpermi_w,1.00,1.00,1.00
vpickev_b,1.00,1.00,1.00
vpickev_d,1.00,1.00,1.00
vpickev_h,1.00,1.00,1.00
vpickev_w,1.00,1.00,1.00
vpickod_b,1.00,1.00,1.00
vpickod_d,1.00,1.00,1.00
vpickod_h,1.00,1.00,1.00
vpickod_w,1.00,1.00,1.00
vpickve2gr_b,2.00,0.50,2.00
vpickve2gr_bu,2.00,0.50,2.00
vpickve2gr_d,2.00,0.50,2.00
vpickve2gr_du,2.00,0.50,2.00
vpickve2gr_h,2.00,0.50,2.00
vpickve2gr_hu,2.00,0.50,2.00
vpickve2gr_w,2.00,0.50,2.00
vpickve2gr_wu,2.00,0.50,2.00
vreplgr2vr_b,,1.00,1.00
vreplgr2vr_d,,1.00,1.00
vreplgr2vr_h,,1.00,1.00
vreplgr2vr_w,,1.00,1.00
vrepli_b,,1.00,1.00
vrepli_d,,1.00,1.00
vrepli_h,,1.00,1.00
vrepli_w,,1.00,1.00
vreplve_b,1.00,1.00,1.00
vreplve_d,1.00,1.00,1.00
vreplve_h,1.00,1.00,1.00
vreplve_w,1.00,1.00,1.00
vreplvei_b,1.00,1.00,1.00
vreplvei_d,1.00,1.00,1.00
vreplvei_h,1.00,1.00,1.00
vreplvei_w,1.00,1.00,1.00
vrotr_b,1.00,1.00,1.00
vrotr_d,1.00,1.00,1.00
vrotr_h,1.00,1.00,1.00
vrotr_w,1.00,1.00,1.00
vrotri_b,1.00,1.00,1.00
vrotri_d,1.00,1.00,1.00
vrotri_h,1.00,1.00,1.00
vrotri_w,1.00,1.00,1.00
vsadd_b,1.00,1.00,1.00
vsadd_bu,1.00,1.00,1.00
vsadd_d,1.00,1.00,1.00
vsadd_du,1.00,1.00,1.00
vsadd_h,1.00,1.00,1.00
vsadd_hu,1.00,1.00,1.00
vsadd_w,1.00,1.00,1.00
vsadd_wu,1.00,1.00,1.00
vsat_b,2.00,1.00,1.00
vsat_bu,2.00,1.00,1.00
vsat_d,2.00,1.00,1.00
vsat_du,2.00,1.00,1.00
vsat_h,2.00,1.00,1.00
vsat_hu,2.00,1.00,1.00
vsat_w,2.00,1.00,1.00
vsat_wu,2.00,1.00,1.00
vseq_b,1.00,1.00,1.00
vseq_d,1.00,1.00,1.00
vseq_h,1.00,1.00,1.00
vseq_w,1.00,1.00,1.00
vseqi_b,1.00,1.00,1.00
vseqi_d,1.00,1.00,1.00
vseqi_h,1.00,1.00,1.00
vseqi_w,1.00,1.00,1.00
vsetallnez_b,,1.00,1.00
vsetallnez_d,,1.00,1.00
vsetallnez_h,,1.00,1.00
vsetallnez_w,,1.00,1.00
vsetanyeqz_b,,1.00,1.00
vsetanyeqz_d,,1.00,1.00
vsetanyeqz_h,,1.00,1.00
vsetanyeqz_w,,1.00,1.00
vseteqz_v,,1.00,1.00
vsetnez_v,,1.00,1.00
vshuf4i_b,1.00,1.00,1.00
vshuf4i_d,1.00,1.00,1.00
vshuf4i_h,1.00,1.00,1.00
vshuf4i_w,1.00,1.00,1.00
vshuf_b,1.00,1.00,1.00
vshuf_d,1.00,1.00,1.00
vshuf_h,1.00,1.00,1.00
vshuf_w,1.00,1.00,1.00
vsigncov_b,1.00,1.00,1.00
vsigncov_d,1.00,1.00,1.00
vsigncov_h,1.00,1.00,1.00
vsigncov_w,1.00,1.00,1.00
vsle_b,1.00,1.00,1.00
vsle_bu,1.00,1.00,1.00
vsle_d,2.00,1.00,1.00
vsle_du,2.00,1.00,1.00
vsle_h,1.00,1.00,1.00
vsle_hu,1.00,1.00,1.00
vsle_w,1.00,1.00,1.00
vsle_wu,1.00,1.00,1.00
vslei_b,1.00,1.00,1.00
vslei_bu,1.00,1.00,1.00
vslei_d,2.00,1.00,1.00
vslei_du,2.00,1.00,1.00
vslei_h,1.00,1.00,1.00
vslei_hu,1.00,1.00,1.00
vslei_w,1.00,1.00,1.00
vslei_wu,1.00,1.00,1.00
vsll_b,1.00,1.00,1.00
vsll_d,1.00,1.00,1.00
vsll_h,1.00,1.00,1.00
vsll_w,1.00,1.00,1.00
vslli_b,1.00,1.00,1.00
vslli_d,1.00,1.00,1.00
vslli_h,1.00,1.00,1.00
vslli_w,1.00,1.00,1.00
vsllwil_d_w,2.00,0.50,2.00
vsllwil_du_wu,2.00,0.50,2.00
vsllwil_h_b,2.00,0.50,2.00
vsllwil_hu_bu,2.00,0.50,2.00
vsllwil_w_h,2.00,0.50,2.00
vsllwil_wu_hu,2.00,0.50,2.00
vslt_b,1.00,1.00,1.00
vslt_bu,1.00,1.00,1.00
vslt_d,2.00,1.00,1.00
vslt_du,2.00,1.00,1.00
vslt_h,1.00,1.00,1.00
vslt_hu,1.00,1.00,1.00
vslt_w,1.00,1.00,1.00
vslt_wu,1.00,1.00,1.00
vslti_b,1.00,1.00,1.00
vslti_bu,1.00,1.00,1.00
vslti_d,2.00,1.00,1.00
vslti_du,2.00,1.00,1.00
vslti_h,1.00,1.00,1.00
vslti_hu,1.00,1.00,1.00
vslti_w,1.00,1.00,1.00
vslti_wu,1.00,1.00,1.00
vsra_b,1.00,1.00,1.00
vsra_d,1.00,1.00,1.00
vsra_h,1.00,1.00,1.00
vsra_w,1.00,1.00,1.00
vsrai_b,1.00,1.00,1.00
vsrai_d,1.00,1.00,1.00
vsrai_h,1.00,1.00,1.00
vsrai_w,1.00,1.00,1.00
vsran_b_h,2.00,0.50,2.00
vsran_h_w,2.00,0.50,2.00
vsran_w_d,2.00,0.50,2.00
vsrani_b_h,3.00,0.50,2.00
vsrani_d_q,2.00,1.00,1.00
vsrani_h_w,3.00,0.50,2.00
vsrani_w_d,3.00,0.50,2.00
vsrar_b,2.00,1.00,1.00
vsrar_d,2.00,1.00,1.00
vsrar_h,2.00,1.00,1.00
vsrar_w,2.00,1.00,1.00
vsrari_b,2.00,1.00,1.00
vsrari_d,2.00,1.00,1.00
vsrari_h,2.00,1.00,1.00
vsrari_w,2.00,1.00,1.00
vsrarn_b_h,3.00,0.50,2.00
vsrarn_h_w,3.00,0.50,2.00
vsrarn_w_d,3.00,0.50,2.00
vsrarni_b_h,3.00,0.50,2.00
vsrarni_d_q,2.00,1.00,1.00
vsrarni_h_w,3.00,0.50,2.00
vsrarni_w_d,3.00,0.50,2.00
vsrl_b,1.00,1.00,1.00
